shipment_id,ship_date,delivery_date,weight_kg,shipping_cost,distance_km,carrier,service_level,is_insured,requires_signature,status,destination_region,special_instructions
Professional Resource #118,2025/04/28,20250329,487.38,358.31,2250.65,Own Fleet,Same-Day,NO,0,in_transit,Midwest,
Premium Resource #119,03/07/2025,2025-09-17,483.03,97.44,548.49,Own Fleet,Standard,Y,False,in_transit,Southeast,
Advanced Document #120,25/07/2025,2025-08-04,297.82,309.26,720.61,DHL,Express,NO,sim,returned,North,Leave at Door 532
Advanced Asset #121,2025-02-26,2025-07-23,880.38,405.71,"2,492.85",Local Courier,Standard,T,no,delayed,Southeast,Leave at Door 919
Advanced Product #122,17/11/2025,,358.79,13.95,2648.31,Correios,Economy,1,yes,delayed,South,Leave at Door 986
Enterprise Asset #123,25/02/2025,2025-01-09,659.11,101.75,4875.80,Own Fleet,Standard,0,1,returned,International,Leave at Door 978
Advanced Document #124,10/20/2025,20251115,672.00,198.53,992.43,Own Fleet,Same-Day,1,0,delivered,International,
Enterprise Service #125,2025/07/08,20250320,947.19,17.13,4641.10,Fedex,Economy,NO,YES,lost,South,
Basic Asset #126,2026/02/03,2025-08-22,953.73,73.60,2856.05,DHL,Economy,True,não,in_transit,Midwest,
Standard Item #127,20251225,02/17/2026,829.86,273.01,1355.60,DHL,Express,False,Y,delivered,International,
Standard Service #128,20250929,2025-09-22,717.87,349.58,4192.31,Own Fleet,Same-Day,true,True,delivered,Northeast,
Custom Product #129,15/02/2025,20260111,926.46,263.43,3517.76,DHL,Express,no,yes,returned,Northeast,Handle with Care 354
Standard Entry #130,25/01/2026,2026/02/07,672.39,198.58,1141.84,DHL,Economy,true,não,returned,Southeast,Keep Refrigerated 460
Enterprise Item #131,05/06/2025,2025-10-16,596.84,167.84,4158.09,Own Fleet,Express,True,F,in_transit,International,Fragile 806
Advanced Asset #132,2025-06-15,2025-05-25,35.41,385.86,3030.12,Correios,Standard,não,False,delayed,International,Keep Refrigerated 703
Enterprise Record #133,2025/07/07,21/02/2026,539.55,337.13,,Local Courier,Same-Day,NO,0,delivered,Northeast,Keep Refrigerated 172
Professional Product #134,26/08/2025,2025-06-08,514.22,195.97,2384.35,Correios,Economy,YES,0,delayed,Southeast,Keep Refrigerated 720
Premium Product #135,20250318,20250417,237.67,79.32,"4,652.74",DHL,Economy,Y,no,in_transit,International,Fragile 232
Custom Product #136,2025-11-27,13/09/2025,751.39,180.87,4290.80,Own Fleet,Standard,no,não,lost,North,
Premium Product #137,2026/02/06,25/12/2025,911.32,177.23,"1,799.92",Own Fleet,Standard,true,True,lost,South,
Professional Entry #138,20250818,2025/06/22,252.45,196.83,2668.35,Own Fleet,Express,false,False,returned,International,
Enterprise Resource #139,2025/09/19,04/24/2025,500.43,345.92,"1,843.72",DHL,Economy,False,N,lost,North,Fragile 530
Custom Product #140,2025/06/21,2025/04/17,989.36,387.67,"3,691.47",Fedex,Same-Day,T,false,delivered,Midwest,
Standard Document #141,2025/12/03,20250416,727.75,355.70,743.04,DHL,Standard,no,T,in_transit,Midwest,
Professional Product #142,2025-01-14,07/12/2025,156.64,358.44,3453.54,Own Fleet,Express,1,não,lost,South,Keep Refrigerated 965
Standard Service #143,2025-07-11,2025-04-30,511.04,350.83,"4,145.71",Correios,Same-Day,no,true,delivered,South,
Basic Service #144,01/24/2026,02/14/2026,761.46,368.67,563.99,Correios,Same-Day,False,0,returned,North,
Custom Item #145,2025-09-13,09/02/2025,95.43,168.28,2906.16,Own Fleet,Express,yes,yes,delivered,International,
Premium Resource #146,02/09/2025,12/07/2025,759.78,152.02,1274.45,Fedex,Economy,true,true,returned,North,
Advanced Asset #147,05/14/2025,07/03/2025,835.48,422.90,"4,298.29",Local Courier,Standard,não,Y,in_transit,Southeast,
Professional Entry #148,11/23/2025,02/23/2026,502.24,90.29,2758.49,Own Fleet,Same-Day,não,0,in_transit,International,
Custom Resource #149,2025-04-09,05/11/2025,944.56,415.86,4786.33,DHL,Standard,0,False,returned,International,
Advanced Service #150,2025-12-02,20251017,706.17,102.80,"3,006.90",Correios,Economy,não,sim,in_transit,North,Fragile 444
Basic Item #151,20250414,14/02/2026,519.56,80.47,"3,992.91",DHL,Same-Day,0,N,delayed,Northeast,
Advanced Document #152,10/01/2026,28/01/2025,586.79,118.97,4284.35,Fedex,Same-Day,0,no,delivered,North,
Basic Resource #153,05/01/2025,2025/12/24,218.04,190.90,4677.34,Own Fleet,Standard,F,no,in_transit,Northeast,Fragile 571
Premium Resource #154,02/09/2026,23/06/2025,,20.09,932.45,DHL,Standard,1,não,returned,Northeast,
Professional Record #155,11/25/2025,11/02/2025,740.19,201.24,3258.01,DHL,Same-Day,false,Y,delivered,Northeast,
Custom Document #156,14/08/2025,2025-03-23,49.53,343.91,"2,727.63",Local Courier,Express,false,true,in_transit,Midwest,
Basic Item #157,2025/12/09,14/02/2025,510.62,353.55,4889.07,Correios,Express,Y,True,in_transit,Midwest,
Basic Product #158,05/12/2025,20250204,647.74,200.94,4029.06,Local Courier,Same-Day,N,no,delivered,South,Fragile 55
Standard Record #159,2025-07-02,2025-09-02,461.72,60.20,3112.37,Local Courier,Standard,false,NO,lost,,Fragile 604
Advanced Service #160,2025-06-27,2025/08/15,41.47,419.65,1939.42,Fedex,Standard,False,0,delivered,South,
Enterprise Service #161,2025-10-25,07/15/2025,293.68,365.11,502.66,Correios,Economy,NO,true,delivered,Southeast,Leave at Door 794
Basic Product #162,20260113,2025-02-09,376.45,219.15,,Local Courier,Standard,não,T,in_transit,,Fragile 768
Premium Service #163,2025-07-29,,108.05,312.39,814.77,DHL,Same-Day,False,N,delayed,South,
Enterprise Document #164,10/10/2025,20251101,986.65,292.07,"2,688.25",Correios,Express,sim,no,lost,South,Fragile 969
Basic Entry #165,2025/07/24,05/06/2025,231.11,168.88,2736.35,Fedex,Standard,true,sim,delayed,International,Leave at Door 998
Basic Asset #166,23/09/2025,20250712,168.29,228.17,969.91,DHL,Standard,não,F,lost,,Keep Refrigerated 103
Standard Entry #167,2025-07-03,02/10/2026,104.22,443.49,"4,074.62",Own Fleet,Standard,yes,Y,in_transit,North,Keep Refrigerated 793
Advanced Document #168,2025/03/28,,523.67,188.94,1807.23,Fedex,Same-Day,F,sim,delayed,North,
Professional Asset #169,03/09/2025,2025-06-11,770.99,340.44,"3,062.19",Local Courier,Same-Day,0,false,delayed,International,
Enterprise Product #170,2025-07-28,06/26/2025,,185.67,"2,511.96",DHL,Express,false,false,returned,International,Fragile 459
Standard Entry #171,2025-10-11,2025/12/14,466.05,87.51,2517.02,Fedex,Economy,F,F,delayed,North,Handle with Care 43
Enterprise Item #172,2026/01/24,,912.09,434.06,3704.83,Fedex,Same-Day,sim,False,delayed,Southeast,Fragile 972
Professional Asset #173,26/12/2025,2025/10/21,47.09,494.84,"4,660.34",Own Fleet,Standard,YES,Y,delayed,South,Keep Refrigerated 222
Custom Record #174,12/05/2025,02/06/2025,903.36,79.87,"2,980.61",Fedex,Express,N,False,delivered,Southeast,
Professional Resource #175,2025/10/10,,907.98,208.16,2216.92,Local Courier,Express,True,no,delayed,Southeast,Keep Refrigerated 314
Advanced Product #176,01/22/2025,09/18/2025,623.19,412.74,1314.32,Correios,Economy,não,N,returned,Southeast,
Advanced Service #177,2025/10/28,20250427,785.68,220.19,"2,459.88",Local Courier,Economy,T,False,returned,North,Fragile 819
Enterprise Service #178,02/07/2026,29/05/2025,358.01,291.75,1660.50,Correios,Express,F,False,delivered,Southeast,
Enterprise Asset #179,2025-04-23,,51.00,362.38,1481.99,Own Fleet,Same-Day,0,sim,lost,South,Fragile 79
Premium Entry #180,2025-01-09,,395.37,20.36,2589.95,Local Courier,Same-Day,F,true,delayed,Northeast,
Advanced Asset #181,2025-12-01,2025/06/26,29.09,290.18,3490.76,Local Courier,Economy,não,sim,delivered,Southeast,
Advanced Entry #182,2025/07/01,2025/10/15,213.23,294.39,254.93,Fedex,Standard,Y,no,returned,Southeast,
Enterprise Resource #183,01/12/2025,2025/09/28,441.48,85.14,"1,642.11",Correios,Economy,Y,sim,in_transit,South,
Custom Document #184,2026/02/05,2025/02/01,368.65,303.93,2169.90,Fedex,Express,Y,Y,lost,North,
Enterprise Item #185,26/12/2025,2026-01-28,624.07,320.89,46.48,DHL,Economy,NO,não,delayed,South,Keep Refrigerated 114
Advanced Resource #186,2025-04-06,14/03/2025,676.96,339.88,2927.61,Fedex,Same-Day,1,sim,delivered,Midwest,Leave at Door 142
Standard Resource #187,12/02/2025,21/11/2025,769.04,168.78,,Fedex,Standard,YES,N,returned,Southeast,Keep Refrigerated 699
Custom Asset #188,09/11/2025,2025-04-09,376.13,22.37,,Correios,Express,no,true,delivered,North,Keep Refrigerated 943
Professional Record #189,2025-12-30,11/05/2025,481.21,294.08,"1,554.62",Local Courier,Standard,true,1,returned,Southeast,Fragile 907
Custom Asset #190,09/18/2025,11/04/2025,72.84,220.13,"4,098.91",Correios,Same-Day,não,NO,delayed,Midwest,Leave at Door 954
Custom Resource #191,2026/02/12,2025/12/20,567.11,355.79,3164.16,Local Courier,Express,T,0,returned,,Fragile 228
Enterprise Asset #192,2025-11-06,24/08/2025,470.08,438.60,"2,264.75",Fedex,Express,YES,NO,delivered,International,
Premium Asset #193,2025/03/22,2025-06-01,328.74,25.88,2966.10,Correios,Standard,no,Y,delayed,Northeast,Leave at Door 214
Standard Resource #194,2025/07/30,04/12/2025,80.70,258.04,1680.53,Fedex,Express,T,F,returned,Northeast,Fragile 456
Custom Document #195,01/26/2025,2025-09-23,892.33,88.51,4775.15,Fedex,Standard,N,1,lost,Southeast,
Premium Resource #196,05/17/2025,20251203,416.45,95.27,2909.05,Correios,Same-Day,sim,no,lost,Midwest,
Premium Entry #197,2025/09/24,,943.46,308.48,865.52,Fedex,Same-Day,True,0,lost,North,
Enterprise Product #198,2025-03-15,12/10/2025,142.29,25.07,1045.57,DHL,Same-Day,Y,0,delayed,Southeast,Keep Refrigerated 278
Standard Service #199,2025/09/13,12/01/2025,999.48,202.53,3991.41,Own Fleet,Express,não,false,returned,South,Handle with Care 813
Advanced Service #200,2025-02-10,01/03/2025,,496.11,2619.07,Local Courier,Economy,sim,Y,returned,South,
Professional Service #201,2026-01-28,11/30/2025,349.67,184.25,139.09,DHL,Same-Day,false,YES,delivered,International,
Advanced Document #202,20250409,2025/05/13,711.96,369.21,4487.93,Fedex,Standard,F,não,delivered,North,
Advanced Service #203,15/10/2025,20250805,829.18,269.37,,Local Courier,Economy,0,false,in_transit,Midwest,
Custom Resource #204,09/12/2025,2025-11-18,700.42,295.02,663.09,DHL,Same-Day,sim,yes,delivered,,Keep Refrigerated 237
Standard Entry #205,15/11/2025,01/06/2025,59.35,191.17,"2,041.93",Local Courier,Same-Day,1,True,returned,Midwest,Handle with Care 267
Enterprise Document #206,08/12/2025,,565.94,315.52,4063.13,Fedex,Standard,N,false,delayed,Southeast,
Enterprise Document #207,20250520,2025-03-30,617.66,151.01,3278.00,Fedex,Standard,False,T,delivered,International,
Advanced Asset #208,20251220,2026-01-09,157.53,418.46,1301.22,Own Fleet,Same-Day,no,YES,lost,North,Fragile 531
Standard Resource #209,08/01/2026,20260207,808.75,308.05,4266.22,Local Courier,Express,True,true,returned,Northeast,Leave at Door 656
Basic Product #210,20250823,06/30/2025,865.82,288.21,4990.51,Own Fleet,Same-Day,YES,True,returned,North,Leave at Door 331
Custom Document #211,08/05/2025,,620.40,492.70,4393.00,Fedex,Express,Y,Y,in_transit,South,Handle with Care 731
Standard Product #212,2026/01/04,,577.23,156.70,1192.88,Correios,Economy,F,N,returned,Southeast,
Basic Asset #213,2025/07/16,04/23/2025,719.47,498.62,,Correios,Economy,yes,1,delayed,North,
Basic Service #214,03/03/2025,06/11/2025,136.49,195.98,2098.68,Local Courier,Express,1,não,delayed,Midwest,
Enterprise Product #215,2025-02-11,,424.00,92.75,97.42,Fedex,Economy,Y,YES,in_transit,Southeast,
Advanced Service #216,20250531,2025/07/03,715.42,485.01,"2,017.39",DHL,Standard,N,sim,in_transit,Midwest,
Basic Entry #217,2025/06/30,02/15/2026,38.86,21.90,2697.22,Fedex,Same-Day,sim,True,returned,South,Leave at Door 14
Standard Asset #218,2025/10/29,11/10/2025,24.42,485.07,795.54,Fedex,Economy,N,Y,delivered,International,
Custom Entry #219,2025-03-07,06/04/2025,382.47,400.33,1341.45,Correios,Standard,não,Y,in_transit,Southeast,
Basic Resource #220,2025-11-09,20260225,95.73,437.59,3288.68,Fedex,Standard,true,true,returned,International,
Custom Asset #221,11/17/2025,06/27/2025,479.29,77.82,4752.65,DHL,Express,sim,sim,delivered,Southeast,
Enterprise Record #222,2025/07/09,09/07/2025,1.84,336.09,"1,145.79",Correios,Same-Day,Y,YES,delivered,Northeast,
Advanced Document #223,2025-03-01,2025/08/07,120.48,34.10,,DHL,Express,1,false,delivered,International,
Professional Record #224,20251107,,833.47,350.64,4764.21,DHL,Economy,true,N,delayed,Midwest,
Advanced Product #225,22/09/2025,20250317,515.54,133.07,2180.09,Own Fleet,Economy,NO,NO,delivered,South,Fragile 841
Enterprise Resource #226,2025/10/01,,934.49,455.62,2120.93,Fedex,Standard,F,false,returned,South,
Custom Document #227,2025-01-21,2025/04/23,710.06,378.51,2554.69,DHL,Same-Day,não,0,returned,South,
Standard Resource #228,04/02/2026,27/11/2025,213.15,237.03,1124.80,Correios,Same-Day,não,Y,lost,Southeast,Fragile 139
Custom Document #229,20250711,,457.49,397.24,4762.42,Fedex,Same-Day,True,0,delayed,International,
Advanced Resource #230,20251219,01/17/2025,858.06,468.90,"2,170.03",Correios,Standard,True,Y,in_transit,Midwest,Handle with Care 850
Professional Service #231,2025/11/23,,,42.65,3006.03,DHL,Standard,Y,não,in_transit,Southeast,
