transaction_id,sale_date,amount,quantity,discount_rate,status,payment_method,is_prime_member,is_gift,customer_segment,product_category,shipping_notes
Professional Record #20,2024/02/25,1974.25,97.60,0.40,cancelled,pix,false,0,New,Toys,Express delivery 391
Premium Entry #21,20240315,"2,121.46",70.15,0.26,pending,debit_card,Y,,VIP,Sports,Gift wrap 642
Custom Item #22,11/05/2025,"4,898.58",89.13,,completed,boleto,NO,N,Inactive,Books,Pickup 897
Premium Resource #23,07/05/2024,1536.80,5.53,,pending,boleto,True,T,Inactive,Home,
Custom Asset #24,2024/08/09,1384.28,60.83,0.38,pending,credit_card,F,no,Regular,Sports,Express delivery 48
Standard Product #25,07/18/2025,"4,580.80",30.49,,pending,pix,F,N,Regular,Home,Express delivery 721
Standard Entry #26,20241012,4708.82,49.29,0.14,pending,debit_card,F,NO,Regular,Clothing,Gift wrap 454
Standard Entry #27,20240522,"3,717.39",55.13,0.42,completed,debit_card,yes,no,New,Electronics,Standard shipping 677
Enterprise Record #28,07/01/2025,3245.85,37.86,0.21,refunded,pix,sim,0,VIP,Sports,Express delivery 683
Basic Record #29,10/05/2025,,84.86,0.29,refunded,debit_card,T,1,Inactive,Books,Pickup 594
Advanced Resource #30,06/13/2024,1449.47,7.46,0.38,cancelled,credit_card,yes,sim,Inactive,Clothing,
Enterprise Service #31,20241212,"4,341.97",6.51,0.06,refunded,paypal,yes,T,New,Electronics,Express delivery 860
Standard Record #32,2024-08-22,"4,578.69",70.12,0.19,refunded,paypal,0,False,Inactive,Toys,
Premium Asset #33,08/27/2025,4289.41,38.41,,cancelled,pix,no,,VIP,Books,Pickup 64
Enterprise Document #34,08/05/2024,4610.52,48.98,,completed,pix,F,False,Inactive,Sports,
Advanced Asset #35,2025/10/30,1903.20,67.57,0.20,completed,boleto,não,false,Inactive,Electronics,Express delivery 339
Standard Resource #36,02/11/2025,671.44,51.56,0.20,completed,boleto,False,0,New,Clothing,Gift wrap 49
Standard Item #37,25/06/2025,384.66,2.45,,pending,pix,N,não,VIP,Sports,Express delivery 36
Standard Record #38,20250418,623.74,11.54,0.16,refunded,credit_card,1,0,,Clothing,Pickup 154
Custom Item #39,07/04/2024,3563.11,40.26,0.17,refunded,paypal,1,0,New,Books,
Basic Service #40,2025/07/29,1876.19,4.66,0.18,completed,paypal,0,no,Regular,Home,Pickup 783
Premium Entry #41,2024-07-08,1711.68,41.63,,pending,debit_card,YES,yes,New,Books,
Standard Document #42,2025/12/31,179.61,65.52,,cancelled,credit_card,false,não,New,Books,Standard shipping 323
Enterprise Asset #43,2025-11-16,"4,605.78",27.13,,refunded,credit_card,YES,N,Regular,Home,Pickup 15
Custom Entry #44,20250224,1242.19,49.74,0.14,pending,debit_card,True,N,VIP,Sports,Express delivery 999
Premium Document #45,09/04/2024,72.99,68.62,0.17,pending,pix,True,F,VIP,Toys,
Premium Item #46,20240210,615.60,32.08,,pending,credit_card,F,Y,New,Electronics,
Basic Record #47,2025/10/18,"2,071.99",15.93,0.29,pending,paypal,Y,NO,Inactive,Electronics,
Standard Service #48,10/11/2025,4936.83,70.64,,refunded,pix,sim,yes,New,Home,Standard shipping 331
Enterprise Asset #49,05/08/2024,28.55,8.29,0.46,pending,credit_card,YES,1,New,Electronics,
Enterprise Record #50,06/03/2024,373.97,87.48,0.19,refunded,debit_card,NO,yes,Inactive,Home,Pickup 688
Premium Product #51,09/24/2025,1052.27,66.91,0.15,refunded,debit_card,F,NO,Inactive,Books,
Custom Document #52,2025-10-22,2938.70,33.15,0.21,completed,paypal,não,não,VIP,Books,Gift wrap 523
Enterprise Service #53,09/30/2025,"2,922.88",98.74,0.30,refunded,credit_card,sim,F,Regular,Home,Gift wrap 161
Standard Document #54,19/02/2025,"3,134.46",34.74,0.30,completed,credit_card,true,T,New,Home,
Custom Product #55,24/08/2025,"3,592.57",86.31,0.14,pending,paypal,no,T,VIP,Clothing,
Advanced Product #56,21/10/2025,"1,440.36",45.02,0.37,pending,credit_card,0,0,New,Clothing,Standard shipping 968
Enterprise Document #57,02/11/2024,848.89,23.70,0.27,refunded,paypal,yes,YES,New,Home,
Custom Record #58,04/20/2025,"1,078.03",61.48,0.34,cancelled,pix,Y,no,VIP,Books,Standard shipping 102
Standard Service #59,16/05/2024,4776.37,45.56,0.11,completed,debit_card,sim,não,Regular,Books,
Premium Asset #60,2025-06-19,4048.78,1.34,0.50,pending,debit_card,não,sim,VIP,Toys,Pickup 207
Custom Record #61,2026-01-08,3692.27,52.71,0.07,pending,pix,F,yes,Inactive,Clothing,
Professional Document #62,2025/05/10,"4,412.82",12.58,0.17,pending,paypal,F,True,Regular,Books,
Custom Product #63,2024/01/06,470.62,62.05,0.39,refunded,credit_card,yes,NO,Inactive,Sports,Pickup 758
Enterprise Service #64,2026-01-13,107.61,43.82,0.43,refunded,credit_card,N,sim,Regular,Sports,Pickup 306
Professional Record #65,05/29/2024,288.92,17.94,,refunded,paypal,F,YES,Regular,Sports,Express delivery 457
Professional Service #66,20240721,"4,562.34",46.17,0.43,refunded,debit_card,Y,False,Regular,Toys,Pickup 732
Basic Entry #67,20250730,4693.05,1.02,0.01,refunded,boleto,True,NO,Regular,Electronics,Standard shipping 792
Premium Document #68,20240216,4266.19,6.19,0.43,refunded,paypal,yes,não,Inactive,Books,
Professional Entry #69,19/09/2025,3717.82,92.55,0.21,cancelled,pix,yes,0,VIP,Clothing,Standard shipping 430
Advanced Resource #70,12/06/2025,2856.24,46.58,,refunded,debit_card,T,true,VIP,Books,Gift wrap 888
Advanced Asset #71,20240605,4724.89,2.78,0.38,cancelled,credit_card,no,0,New,Electronics,
Standard Asset #72,2024/08/06,"2,198.67",80.54,,pending,boleto,true,true,New,Sports,
Professional Product #73,23/05/2025,4210.64,77.78,0.23,completed,boleto,False,,Inactive,Electronics,
Premium Asset #74,20/11/2025,1221.15,11.96,,cancelled,credit_card,F,Y,VIP,Books,Pickup 55
Enterprise Entry #75,07/03/2025,649.25,54.29,,refunded,debit_card,Y,1,Regular,Books,
Custom Item #76,20250601,371.19,14.39,0.09,refunded,pix,não,não,New,Clothing,Standard shipping 80
Custom Item #77,2025/02/12,"3,218.76",60.21,,completed,pix,Y,,VIP,Toys,Standard shipping 945
Custom Asset #78,05/01/2025,"3,843.41",41.68,0.04,completed,paypal,F,1,Inactive,Clothing,
Enterprise Service #79,2026/02/02,4695.68,51.84,0.13,cancelled,boleto,NO,F,Regular,Electronics,
Basic Product #80,2026/01/29,388.94,82.22,0.12,pending,debit_card,NO,Y,Inactive,Sports,Pickup 12
Custom Entry #81,20/07/2024,2045.31,87.34,0.39,refunded,boleto,YES,yes,Regular,Books,
Enterprise Item #82,17/08/2024,4341.45,94.82,0.45,pending,paypal,Y,True,New,Clothing,Pickup 516
Standard Record #83,06/01/2024,2199.18,67.14,0.27,cancelled,paypal,F,Y,VIP,Toys,
Standard Item #84,10/19/2025,3370.73,18.71,0.25,completed,debit_card,yes,não,New,Electronics,Gift wrap 594
Advanced Resource #85,20241012,1219.78,65.83,0.09,pending,credit_card,1,T,New,Sports,
Standard Service #86,01/04/2024,746.80,7.56,0.48,refunded,paypal,true,NO,Inactive,Home,
Standard Entry #87,07/23/2025,"1,812.73",97.71,0.35,refunded,credit_card,no,no,Inactive,Sports,
Advanced Document #88,2024/03/01,2998.18,36.80,0.48,completed,paypal,true,false,VIP,Home,Gift wrap 875
Custom Asset #89,20251012,"1,648.91",43.49,0.43,pending,credit_card,F,no,New,Books,Standard shipping 812
Advanced Record #90,20251122,4900.68,36.44,0.03,pending,pix,0,YES,VIP,Books,
Enterprise Document #91,11/19/2025,"1,346.57",46.30,0.48,pending,debit_card,YES,no,VIP,Home,Standard shipping 118
Enterprise Service #92,07/26/2025,"3,794.74",65.31,0.06,refunded,pix,yes,False,Inactive,Books,Pickup 533
Professional Entry #93,2025-06-23,4179.92,4.49,0.41,refunded,paypal,0,false,VIP,Home,
Standard Resource #94,08/06/2025,3709.07,82.71,0.20,completed,pix,yes,False,Regular,Books,
Basic Record #95,2025/06/03,557.90,47.50,0.39,cancelled,paypal,no,True,Regular,Books,
Professional Asset #96,01/05/2024,"3,314.80",43.40,0.10,pending,pix,não,no,New,Electronics,Standard shipping 863
Standard Resource #97,20240319,497.82,3.00,0.02,refunded,pix,T,False,Regular,Toys,Express delivery 882
Enterprise Product #98,2025/08/22,"1,675.67",97.73,0.41,completed,debit_card,NO,0,New,Toys,Gift wrap 469
Professional Service #99,2025/10/19,154.40,70.50,0.12,cancelled,credit_card,não,não,Inactive,Books,Gift wrap 717
Custom Entry #100,2024/06/29,523.99,15.96,0.02,cancelled,boleto,True,YES,New,Electronics,
Custom Record #101,26/09/2024,"1,984.17",27.30,0.16,cancelled,credit_card,False,NO,New,Clothing,
Premium Entry #102,20260209,825.17,83.90,0.28,cancelled,paypal,1,NO,Regular,Books,Standard shipping 436
Standard Service #103,2025-10-07,"4,739.52",82.40,0.15,completed,credit_card,false,1,Regular,Electronics,
Enterprise Asset #104,2025-09-17,852.50,51.64,,cancelled,paypal,False,,,Toys,Standard shipping 222
Custom Service #105,2024/12/14,3076.01,76.16,,pending,pix,não,Y,VIP,Clothing,Pickup 965
Custom Document #106,2025-07-07,1310.99,64.36,0.38,cancelled,pix,N,Y,Regular,Clothing,
Custom Item #107,2026-01-15,4704.02,47.38,0.38,pending,paypal,no,Y,New,Toys,Pickup 544
Standard Asset #108,2024-03-01,4968.65,37.98,0.44,completed,debit_card,N,yes,VIP,Home,
Custom Item #109,2025/10/17,1274.41,75.74,,completed,debit_card,sim,Y,VIP,Books,Gift wrap 994
Premium Resource #110,20240222,3926.14,24.15,0.10,refunded,paypal,true,False,Inactive,Home,Express delivery 661
Advanced Entry #111,09/10/2025,2632.43,27.54,0.10,refunded,boleto,no,yes,VIP,Sports,Gift wrap 327
Enterprise Product #112,20250612,"3,159.26",16.92,0.38,pending,paypal,false,yes,Regular,Clothing,
Standard Product #113,09/15/2024,"3,502.21",77.11,0.42,completed,paypal,1,false,New,Sports,Pickup 866
Basic Record #114,2025/02/15,"4,635.35",17.62,0.32,pending,paypal,False,YES,New,Home,Pickup 945
Premium Service #115,2026-01-20,"2,807.99",11.20,0.21,refunded,credit_card,1,no,Regular,Books,Gift wrap 596
Standard Entry #116,2024-11-26,4755.75,59.13,0.05,pending,credit_card,F,yes,VIP,Home,
Premium Item #117,06/07/2024,"2,028.91",68.20,0.34,cancelled,credit_card,Y,não,Regular,Books,Pickup 0
Enterprise Product #118,06/09/2025,767.66,16.99,0.34,cancelled,debit_card,sim,True,Inactive,Books,Express delivery 601
Professional Service #119,06/11/2025,3364.10,79.51,0.15,completed,boleto,YES,sim,Inactive,Toys,
Premium Service #120,16/05/2024,"3,518.78",63.04,,completed,paypal,NO,YES,VIP,Toys,
Custom Entry #121,20241117,2344.99,11.43,,completed,pix,não,Y,VIP,Clothing,Gift wrap 144
Standard Product #122,2024-07-01,837.56,2.80,0.11,refunded,pix,false,no,New,Toys,Pickup 671
Standard Record #123,08/14/2025,1801.13,23.40,0.06,completed,pix,N,não,Inactive,Home,Pickup 786
Advanced Entry #124,20240625,220.23,3.49,0.04,pending,pix,true,true,New,Sports,Standard shipping 543
Advanced Record #125,2025/04/02,3267.37,39.81,0.48,completed,boleto,F,,New,Home,
Enterprise Resource #126,20250616,"1,499.49",64.77,0.04,completed,credit_card,True,,Regular,Electronics,
Standard Record #127,07/31/2025,"4,575.87",98.24,0.08,cancelled,debit_card,F,yes,Regular,Sports,Standard shipping 644
Premium Resource #128,2024/01/22,"1,355.94",69.36,0.12,refunded,credit_card,False,,Regular,Electronics,Express delivery 254
Premium Entry #129,2025-10-11,"1,611.51",43.78,0.18,pending,debit_card,0,F,VIP,Toys,
Professional Entry #130,20240613,2258.39,41.44,,pending,boleto,YES,no,Regular,Electronics,
Basic Entry #131,21/09/2024,1936.89,58.07,0.11,pending,paypal,0,F,Inactive,Clothing,Express delivery 882
Custom Entry #132,20251106,4080.30,9.68,0.47,pending,debit_card,NO,T,New,Books,
Custom Entry #133,20250220,3120.47,68.13,0.17,pending,paypal,0,0,New,Home,Pickup 759
Custom Entry #134,2024-11-29,1939.71,63.29,0.09,refunded,pix,F,false,Inactive,Home,Standard shipping 108
Basic Asset #135,2024-04-05,2453.64,10.46,0.27,refunded,debit_card,true,1,Regular,Clothing,Standard shipping 112
Standard Resource #136,20240703,1317.65,19.15,0.05,cancelled,boleto,yes,sim,Regular,Clothing,Pickup 575
Enterprise Entry #137,01/04/2026,"2,812.05",3.11,0.06,cancelled,boleto,NO,NO,Regular,Sports,Pickup 996
Professional Asset #138,2025/10/19,2934.03,65.15,0.46,cancelled,boleto,YES,true,,Home,Pickup 934
Basic Service #139,20250523,4031.43,53.90,0.37,completed,pix,T,T,VIP,Home,Gift wrap 272
Professional Service #140,2024/09/27,804.83,85.65,0.28,cancelled,credit_card,não,0,Inactive,Books,Standard shipping 282
Enterprise Service #141,2024-07-17,1675.47,18.09,,cancelled,debit_card,1,,,Books,
Standard Record #142,02/11/2026,"2,037.31",12.25,0.02,pending,paypal,no,False,New,Electronics,
Advanced Resource #143,2024-01-26,3257.69,77.27,,pending,credit_card,N,true,Regular,Books,Standard shipping 29
Professional Product #144,2024-12-30,4751.48,91.73,0.47,cancelled,credit_card,sim,YES,Inactive,Home,
Premium Record #145,20260130,4410.36,88.33,0.42,completed,debit_card,YES,F,Regular,Home,Express delivery 195
Enterprise Asset #146,20240805,4187.24,59.55,0.35,refunded,debit_card,1,não,Regular,Sports,
Standard Service #147,2024/01/23,863.69,41.09,0.28,completed,pix,Y,não,Inactive,Clothing,Pickup 265
Basic Record #148,2025-06-29,3949.78,98.01,0.09,refunded,credit_card,no,True,Inactive,Books,Gift wrap 158
Custom Document #149,20241221,4963.84,69.50,0.49,refunded,pix,Y,false,VIP,Sports,Gift wrap 375
Professional Record #150,20250224,2382.71,21.53,0.26,refunded,boleto,F,YES,VIP,Clothing,Standard shipping 291
Professional Entry #151,20240111,"3,929.12",96.39,0.40,pending,boleto,T,Y,Regular,Clothing,
Enterprise Record #152,2024-01-06,"3,051.15",68.93,0.34,completed,debit_card,N,false,New,Home,
Basic Document #153,20/05/2025,"4,288.23",30.29,0.20,pending,paypal,NO,não,Inactive,Sports,
Advanced Document #154,20240616,"3,314.50",92.54,0.37,completed,debit_card,YES,Y,VIP,Books,Gift wrap 582
Professional Record #155,17/11/2025,21.51,73.45,0.15,completed,pix,F,YES,VIP,Clothing,
Custom Asset #156,06/18/2024,2824.48,87.48,0.28,completed,pix,T,N,Regular,Sports,
Basic Product #157,16/01/2024,57.46,10.27,,cancelled,pix,sim,0,Inactive,Toys,
Enterprise Item #158,2024/11/08,3750.67,62.04,0.22,cancelled,debit_card,False,1,New,Toys,Gift wrap 548
Custom Asset #159,2024/05/20,"1,853.88",17.59,0.24,refunded,paypal,N,N,Regular,Electronics,Pickup 652
Standard Product #160,2024-10-31,"4,432.14",73.75,0.41,cancelled,debit_card,True,não,New,Home,Express delivery 320
Professional Product #161,2026/02/01,2009.13,38.34,0.23,refunded,debit_card,false,true,Inactive,Clothing,Pickup 683
Custom Entry #162,31/08/2025,31.41,55.61,0.42,refunded,debit_card,N,,New,Clothing,
Custom Document #163,2025-05-10,"1,718.14",49.66,0.30,pending,pix,True,T,Regular,Toys,
Premium Service #164,12/09/2025,1108.72,57.57,0.33,pending,boleto,0,no,Regular,Home,Standard shipping 273
Advanced Entry #165,25/01/2025,360.27,60.37,,completed,paypal,F,yes,Regular,Toys,
Standard Resource #166,06/01/2025,330.96,63.34,0.48,cancelled,credit_card,não,,Inactive,Books,
Premium Entry #167,11/11/2025,"2,517.40",11.12,,completed,debit_card,sim,Y,VIP,Toys,Pickup 462
Enterprise Asset #168,2024-10-28,"3,547.10",32.80,0.36,refunded,boleto,não,Y,Inactive,Home,Gift wrap 509
Standard Entry #169,2025-10-09,4140.32,4.65,0.22,pending,debit_card,NO,sim,New,Clothing,Pickup 915
Custom Resource #170,2025-04-20,3292.78,30.66,0.04,completed,paypal,N,,VIP,Sports,Standard shipping 844
Premium Record #171,2025/11/28,1445.26,69.22,0.39,cancelled,boleto,0,no,New,Sports,Express delivery 781
Basic Asset #172,2025/04/14,4314.05,46.58,0.04,pending,debit_card,não,yes,Regular,Clothing,
Professional Product #173,2024-12-13,1181.67,89.62,,refunded,debit_card,N,no,New,Home,Express delivery 39
Advanced Service #174,2024/09/11,4812.25,82.54,0.10,completed,paypal,não,F,VIP,Home,Express delivery 351
Premium Document #175,11/02/2026,4537.08,72.09,0.17,completed,credit_card,0,,New,Clothing,Gift wrap 75
Enterprise Asset #176,09/27/2024,2164.48,82.18,0.31,pending,pix,yes,F,Regular,Books,
Professional Asset #177,2024-08-22,1801.04,18.49,0.26,refunded,paypal,false,N,New,Books,Standard shipping 43
Advanced Service #178,16/02/2025,"2,805.48",78.86,,refunded,credit_card,T,true,Inactive,Home,
Professional Item #179,11/28/2025,,84.99,0.48,pending,paypal,YES,false,Inactive,Books,Standard shipping 144
Professional Record #180,2025/08/08,"4,489.59",48.72,0.32,cancelled,debit_card,N,1,Regular,Sports,Gift wrap 79
Advanced Item #181,2025-04-01,668.90,69.43,0.20,pending,debit_card,yes,false,Inactive,Sports,Pickup 752
Professional Service #182,2025-12-09,1854.37,2.89,0.37,refunded,paypal,0,1,New,Sports,Pickup 390
Advanced Document #183,2025/10/24,568.06,27.02,0.45,refunded,credit_card,N,true,New,Sports,Pickup 911
Premium Resource #184,01/04/2025,"1,105.11",20.35,0.44,pending,debit_card,N,YES,Inactive,Sports,
Enterprise Product #185,2024-05-02,442.49,5.55,0.04,refunded,debit_card,não,True,Regular,Home,
Advanced Document #186,09/28/2025,3569.90,56.65,0.45,cancelled,debit_card,sim,0,New,Electronics,Standard shipping 961
Professional Service #187,10/01/2024,3514.13,72.12,0.11,refunded,boleto,False,1,VIP,Clothing,
Standard Record #188,12/17/2024,255.65,39.87,0.46,pending,credit_card,não,Y,New,Home,Pickup 424
Advanced Service #189,2024/11/29,2098.46,21.62,0.25,pending,debit_card,não,no,VIP,Books,Pickup 415
Premium Product #190,12/25/2024,"4,327.99",34.66,0.07,cancelled,pix,Y,N,New,Home,Gift wrap 478
Professional Service #191,02/25/2025,"4,000.92",46.43,,refunded,credit_card,1,True,Regular,Toys,Express delivery 225
Professional Asset #192,02/27/2025,4778.50,49.90,0.19,refunded,pix,false,T,Regular,Home,Standard shipping 333
Advanced Item #193,2025-06-10,564.76,30.81,0.13,cancelled,boleto,True,N,Regular,Books,Pickup 579
Premium Service #194,02/11/2025,4681.71,46.78,0.09,completed,paypal,sim,NO,Regular,Sports,Express delivery 9
Professional Entry #195,14/10/2025,790.50,37.22,0.44,completed,debit_card,sim,T,VIP,Electronics,
Enterprise Item #196,2025/04/07,782.69,41.75,0.17,completed,pix,sim,T,New,Toys,Pickup 140
Custom Record #197,20/12/2024,4698.57,64.55,0.08,pending,boleto,1,True,VIP,Electronics,
Enterprise Service #198,2025/09/22,4507.65,11.06,0.33,cancelled,boleto,YES,False,VIP,Electronics,
Professional Asset #199,2024-12-28,2943.51,17.75,0.06,refunded,pix,false,False,VIP,Toys,Gift wrap 196
Custom Record #200,05/06/2025,3781.16,6.64,0.37,pending,debit_card,yes,0,VIP,Books,Express delivery 244
Advanced Document #201,13/03/2024,1025.76,63.39,0.25,cancelled,pix,sim,N,New,Home,Standard shipping 511
Standard Product #202,2025/11/20,4113.76,79.94,0.37,cancelled,pix,0,N,New,Home,
Enterprise Service #203,05/06/2024,144.08,76.80,0.27,refunded,paypal,NO,NO,VIP,Electronics,
Professional Resource #204,2024/04/23,509.64,1.85,0.36,pending,debit_card,false,False,VIP,Home,
Enterprise Asset #205,20240811,4387.39,21.80,0.36,cancelled,boleto,NO,true,VIP,Books,Gift wrap 82
Enterprise Document #206,18/07/2025,803.52,33.23,0.36,refunded,debit_card,T,Y,New,Home,
Custom Record #207,09/15/2025,3013.84,10.64,0.15,refunded,debit_card,1,True,New,Clothing,
Basic Item #208,20251027,4170.40,29.64,0.40,pending,boleto,T,1,Inactive,Electronics,
Standard Product #209,2024-11-13,3339.22,25.98,0.31,refunded,pix,N,no,VIP,Sports,Gift wrap 72
Enterprise Asset #210,20250418,721.35,70.98,0.45,cancelled,pix,YES,Y,VIP,Toys,Pickup 444
Enterprise Resource #211,20250723,476.98,52.07,,cancelled,boleto,true,sim,Inactive,Clothing,
Enterprise Document #212,24/02/2025,"1,775.34",26.07,0.11,refunded,boleto,no,no,VIP,Electronics,Gift wrap 241
Custom Asset #213,2024-02-21,"2,358.25",51.74,0.38,pending,credit_card,0,false,Regular,Sports,Gift wrap 396
Custom Entry #214,20250226,"1,829.36",91.69,0.43,pending,credit_card,0,False,New,Sports,Standard shipping 820
Advanced Service #215,08/02/2026,2031.36,91.34,0.43,cancelled,pix,Y,yes,New,Books,Standard shipping 579
Custom Service #216,31/05/2024,1122.98,82.41,0.27,completed,paypal,sim,True,VIP,Sports,Express delivery 535
Premium Item #217,2024-07-14,4693.63,69.26,0.15,cancelled,paypal,1,,Regular,Clothing,
Custom Item #218,20251123,2817.92,68.64,0.25,refunded,paypal,1,no,Inactive,Electronics,
Professional Item #219,2025-04-09,862.76,61.10,0.28,pending,debit_card,YES,False,VIP,Electronics,Express delivery 268
Basic Resource #220,2025/07/01,1386.54,10.57,0.39,refunded,boleto,0,sim,VIP,Books,Standard shipping 70
Standard Resource #221,20241027,3514.05,58.35,0.40,completed,debit_card,sim,1,Regular,Sports,Express delivery 203
Basic Item #222,05/10/2024,"4,041.07",49.92,0.31,refunded,paypal,sim,yes,New,Home,Standard shipping 262
Advanced Product #223,20251207,1253.71,44.77,0.47,completed,boleto,true,1,New,Toys,
Premium Record #224,20251206,219.15,53.22,0.47,pending,pix,yes,N,Regular,Home,Gift wrap 303
Basic Product #225,20250910,3903.21,63.71,0.12,cancelled,debit_card,no,T,New,Electronics,Standard shipping 235
Advanced Service #226,20240315,4652.56,17.86,0.22,refunded,boleto,True,Y,Regular,Clothing,
Professional Product #227,20250619,3654.36,80.98,0.28,cancelled,boleto,yes,no,Inactive,Toys,Standard shipping 711
Premium Asset #228,02/12/2024,769.08,85.16,,cancelled,pix,T,T,Regular,Electronics,Express delivery 575
Advanced Item #229,30/12/2024,"3,910.24",56.71,0.26,pending,pix,N,,Inactive,Home,Gift wrap 997
Enterprise Item #230,20250810,4166.41,77.19,,cancelled,credit_card,não,YES,Regular,Toys,Pickup 860
Advanced Document #231,2024/01/17,1439.16,49.65,0.45,pending,debit_card,N,F,Regular,Toys,
Professional Item #232,20240826,1542.33,19.53,,completed,boleto,NO,F,Inactive,Clothing,Gift wrap 879
Professional Service #233,2025/12/24,933.01,1.01,0.48,cancelled,pix,False,F,VIP,Clothing,
Advanced Entry #234,12/24/2024,4462.37,52.81,0.05,pending,boleto,1,true,New,Clothing,Express delivery 5
Professional Asset #235,20260110,230.64,6.73,0.38,pending,paypal,T,false,New,Home,Pickup 519
Standard Service #236,2025/06/28,4900.01,43.67,0.18,completed,debit_card,True,YES,VIP,Toys,
Custom Entry #237,20251121,"4,189.67",2.84,0.01,pending,boleto,0,False,Regular,Books,
Basic Service #238,20250730,3609.32,40.13,0.23,completed,debit_card,F,sim,Inactive,Sports,Pickup 156
Premium Document #239,2024/12/04,4072.31,47.75,0.41,pending,debit_card,F,no,VIP,Toys,Pickup 204
Basic Document #240,20240115,"4,519.89",36.22,0.49,refunded,pix,não,0,VIP,Clothing,Standard shipping 895
Standard Item #241,05/02/2025,1410.51,51.99,0.18,completed,credit_card,F,1,Regular,Books,Standard shipping 830
Professional Asset #242,05/09/2024,2736.90,16.98,0.34,pending,paypal,não,Y,VIP,Books,Express delivery 969
Enterprise Document #243,20260213,4499.92,74.82,0.39,completed,boleto,F,,VIP,Toys,Gift wrap 358
Advanced Entry #244,2024/09/28,1537.12,52.94,0.08,pending,debit_card,1,,New,Toys,Pickup 650
Premium Document #245,2025/10/17,1200.92,33.34,0.40,completed,pix,YES,yes,VIP,Electronics,Standard shipping 717
Custom Document #246,2026-02-02,1358.80,4.30,,refunded,pix,no,0,VIP,Clothing,
Standard Document #247,2024-08-15,1621.04,69.09,0.08,pending,boleto,T,não,VIP,Clothing,Express delivery 108
Basic Resource #248,20241020,4350.61,83.21,0.10,pending,pix,yes,F,Regular,Clothing,
Professional Resource #249,21/02/2025,2019.41,13.64,0.30,cancelled,debit_card,yes,0,New,Books,Pickup 253
Standard Product #250,05/03/2025,"1,560.35",91.60,0.33,pending,debit_card,False,false,New,Sports,Standard shipping 615
Basic Product #251,2024/04/21,2684.90,50.11,0.17,cancelled,credit_card,true,1,Regular,Home,Standard shipping 942
Professional Service #252,01/17/2025,"4,120.88",81.45,0.02,cancelled,boleto,T,YES,VIP,Toys,Express delivery 997
Basic Service #253,07/27/2025,1936.08,16.94,,completed,pix,N,yes,New,Toys,Gift wrap 803
Standard Item #254,28/06/2025,4716.16,51.31,0.14,refunded,paypal,yes,False,New,Clothing,
Premium Document #255,2025/10/29,774.03,40.14,0.01,completed,paypal,N,yes,VIP,Books,Standard shipping 676
Advanced Resource #256,20240912,4777.82,87.51,0.22,completed,boleto,False,no,New,Toys,Gift wrap 105
Enterprise Item #257,25/08/2024,4468.81,98.24,0.07,completed,paypal,false,0,New,Home,Gift wrap 164
Custom Item #258,20241123,3156.19,67.45,0.30,pending,debit_card,true,sim,,Books,Pickup 899
Custom Entry #259,08/05/2025,3268.75,69.97,0.16,refunded,paypal,F,não,New,Electronics,Standard shipping 914
