transaction_id,transaction_date,amount,balance_after,fee,transaction_type,channel,is_international,is_recurring,status,risk_score,description
Advanced Resource #18,02/12/2025,44556.02,611462.72,13.31,transfer,Mobile App,1,False,pending,,Salary Deposit 152
Basic Resource #19,20251031,"-3,952.72",945598.53,15.29,payment,Mobile App,no,sim,reversed,high,
Custom Entry #20,2026-02-09,-40891.61,434852.86,,payment,Mobile App,no,0,reversed,low,
Advanced Asset #21,2025-04-09,-10082.82,782728.18,46.17,deposit,Mobile App,True,T,reversed,high,
Premium Product #22,24/10/2025,"-24,756.80",419828.01,33.05,payment,Web,False,yes,pending,high,Online Purchase 430
Advanced Entry #23,2025/07/19,2878.00,839238.16,,deposit,Branch,N,F,completed,high,
Custom Record #24,20250526,26706.73,70789.68,35.06,deposit,POS,N,,reversed,,Salary Deposit 585
Custom Asset #25,07/03/2025,"-14,718.30","728,677.10",3.24,withdrawal,POS,1,YES,reversed,low,Online Purchase 14
Professional Service #26,2025-10-21,-25122.28,552701.07,,transfer,ATM,F,,reversed,low,ATM Withdrawal 950
Custom Product #27,20251228,"33,966.14",937576.37,24.66,fee,Mobile App,false,False,completed,low,
Custom Service #28,25/06/2025,22687.84,405965.04,34.59,deposit,Branch,Y,N,completed,medium,Online Purchase 651
Basic Record #29,2025/09/24,-31943.84,825616.15,,transfer,Web,YES,F,failed,,
Professional Entry #30,26/08/2025,"-48,957.83","865,001.65",23.97,transfer,ATM,1,sim,completed,low,ATM Withdrawal 588
Premium Document #31,08/01/2025,19644.91,818901.50,46.82,withdrawal,Mobile App,1,yes,reversed,low,Online Purchase 404
Enterprise Product #32,20251212,-17110.73,162646.10,17.02,transfer,Mobile App,false,Y,completed,low,ATM Withdrawal 7
Premium Asset #33,2026/01/03,"47,989.70",442547.55,48.77,deposit,Mobile App,no,yes,completed,medium,Bill Payment 94
Custom Service #34,02/10/2026,-49114.28,159447.31,30.97,fee,POS,no,1,pending,low,Online Purchase 182
Custom Record #35,20/05/2025,"7,552.67",926667.78,22.10,payment,Web,yes,YES,completed,medium,Online Purchase 817
Custom Document #36,2025/08/01,-40362.03,158937.52,,fee,ATM,false,false,completed,medium,
Professional Entry #37,20250113,-18839.27,241744.66,43.36,deposit,POS,yes,yes,pending,low,
Enterprise Product #38,2025/10/30,"9,641.84",586306.36,9.28,fee,Branch,Y,1,failed,,
Enterprise Document #39,20250510,-27922.82,"820,941.96",21.18,payment,Branch,1,True,completed,low,
Advanced Entry #40,20251123,"-28,656.51",935921.59,9.49,fee,POS,N,yes,completed,low,Bill Payment 258
Custom Entry #41,2025-09-06,-3061.83,590628.29,37.86,transfer,Mobile App,T,YES,reversed,low,Online Purchase 439
Custom Item #42,2025-08-06,"35,210.12","202,407.77",21.61,fee,Branch,true,não,completed,medium,
Standard Record #43,09/17/2025,15918.40,431824.78,24.45,payment,Mobile App,YES,sim,completed,medium,Bill Payment 983
Basic Resource #44,20250725,38665.69,"740,678.02",25.68,payment,Branch,False,F,pending,medium,
Custom Item #45,20260126,-33091.19,791054.88,38.52,deposit,Web,True,não,completed,medium,ATM Withdrawal 496
Professional Record #46,20250624,43004.72,129696.37,,fee,ATM,sim,false,reversed,low,
Basic Record #47,20260117,-46311.44,409385.70,23.97,payment,Branch,YES,T,pending,high,ATM Withdrawal 412
Basic Resource #48,20260113,12274.87,457369.58,26.33,fee,POS,NO,yes,pending,high,Online Purchase 276
Standard Product #49,20260104,"12,417.61",341726.95,2.87,deposit,Branch,NO,False,completed,low,Online Purchase 133
Standard Document #50,28/03/2025,"-41,727.41",675595.02,16.92,payment,Branch,Y,YES,completed,,
Basic Item #51,06/18/2025,"39,858.25",840383.02,28.57,deposit,Mobile App,T,Y,pending,low,
Standard Product #52,2025/07/13,-15004.31,"734,314.38",13.25,fee,Mobile App,F,1,failed,low,Bill Payment 861
Standard Resource #53,2026/01/03,1387.80,742473.96,35.01,payment,Web,True,false,reversed,low,Bill Payment 456
Custom Item #54,2025-03-06,-47598.33,957870.26,42.92,deposit,Branch,1,,completed,,
Premium Document #55,20260114,-19736.62,180188.22,36.48,deposit,Web,sim,1,reversed,medium,
Advanced Service #56,30/07/2025,"-35,422.66","380,479.51",,payment,POS,False,True,completed,medium,
Enterprise Document #57,10/01/2025,-35837.07,956069.00,14.97,fee,Mobile App,true,T,pending,medium,
Basic Document #58,2025-09-29,37373.41,610654.77,48.48,fee,Branch,NO,T,reversed,high,
Basic Item #59,2025/07/24,-47977.08,982867.53,49.14,transfer,Web,yes,true,failed,low,Online Purchase 968
Professional Document #60,20250727,-19599.06,"365,675.41",33.57,transfer,Web,YES,0,reversed,low,Online Purchase 657
Premium Service #61,2025-08-07,-23263.04,"963,804.33",,payment,Branch,NO,false,failed,low,ATM Withdrawal 301
Custom Asset #62,06/25/2025,-45673.59,"680,041.84",45.17,deposit,Mobile App,F,yes,completed,low,ATM Withdrawal 96
Premium Resource #63,05/07/2025,-12667.71,330308.02,,deposit,Mobile App,yes,F,reversed,low,
Enterprise Resource #64,04/03/2025,-35811.62,"690,560.93",35.46,transfer,POS,T,T,completed,low,
Professional Entry #65,2025/01/24,1913.26,17664.40,9.03,transfer,Branch,True,T,failed,medium,
Basic Asset #66,2025-05-10,-45459.10,"410,131.48",32.93,payment,Branch,Y,True,failed,low,
Professional Asset #67,20250328,2003.56,32370.77,7.33,withdrawal,Branch,false,N,reversed,medium,
Professional Product #68,20250408,41865.75,983960.30,21.30,transfer,Mobile App,False,True,reversed,medium,
Custom Document #69,24/06/2025,18166.24,663209.67,36.30,deposit,Mobile App,NO,true,failed,high,Bill Payment 514
Standard Asset #70,2025-08-22,30078.85,943854.46,,deposit,Web,F,true,reversed,high,ATM Withdrawal 393
Premium Entry #71,07/05/2025,"43,230.42",307946.06,0.53,transfer,Branch,Y,T,completed,medium,
Advanced Asset #72,06/26/2025,"38,268.23",107743.86,33.09,deposit,POS,F,,reversed,low,Salary Deposit 153
Custom Document #73,2025-04-28,"-21,782.92","607,541.59",,payment,Web,0,não,reversed,low,
Enterprise Document #74,2025/04/22,15089.92,"603,113.31",,withdrawal,Branch,1,N,completed,medium,ATM Withdrawal 538
Premium Record #75,2025-02-26,-13915.47,608160.81,5.45,fee,Web,True,false,reversed,medium,ATM Withdrawal 342
Enterprise Resource #76,20251222,-38945.58,534063.06,,payment,Web,sim,yes,pending,low,
Basic Product #77,2026-01-02,32052.73,398760.73,,payment,POS,Y,1,reversed,medium,
Advanced Item #78,20250117,30044.68,433228.54,6.26,fee,Mobile App,T,YES,failed,high,
Advanced Item #79,20250501,-46337.95,218908.03,14.87,deposit,Mobile App,False,T,failed,low,
Enterprise Asset #80,2025-07-11,-9720.82,"514,251.61",11.85,withdrawal,Branch,YES,no,failed,medium,Online Purchase 140
Basic Entry #81,12/08/2025,41124.29,235132.05,11.46,deposit,POS,NO,,pending,high,Online Purchase 295
Basic Item #82,2025-05-25,26053.88,"497,986.40",1.06,payment,Web,True,1,failed,high,Online Purchase 184
Advanced Resource #83,20251203,-36805.13,"289,915.02",29.68,transfer,ATM,0,yes,pending,high,
Premium Product #84,20251201,10944.27,3888.85,19.23,withdrawal,Web,Y,NO,pending,high,
Standard Record #85,2025-01-16,586.00,342679.48,26.15,fee,Web,yes,não,reversed,medium,
Advanced Asset #86,20250317,"-32,867.81",406120.00,15.37,fee,Branch,T,False,reversed,low,Salary Deposit 227
Advanced Asset #87,20250324,7986.75,124157.36,0.13,transfer,Branch,YES,false,completed,high,
Advanced Document #88,20/10/2025,"-42,441.31","645,563.61",1.93,deposit,Web,true,false,pending,high,Bill Payment 24
Professional Document #89,01/09/2025,19145.99,966429.74,29.80,transfer,POS,sim,1,failed,high,Salary Deposit 145
Professional Service #90,09/04/2025,-33651.05,65216.37,21.68,transfer,Web,T,false,completed,low,Bill Payment 560
Custom Asset #91,02/01/2026,"33,078.24",305591.35,37.39,withdrawal,Mobile App,1,sim,pending,low,ATM Withdrawal 849
Enterprise Resource #92,2025-11-12,39392.28,718964.77,35.99,payment,ATM,False,True,completed,high,
Custom Product #93,2025-07-20,-1697.30,"874,577.77",19.85,payment,ATM,N,F,failed,high,
Advanced Asset #94,28/07/2025,11169.25,261861.05,10.45,withdrawal,Mobile App,yes,Y,failed,medium,Online Purchase 940
Basic Resource #95,2026/01/23,-3915.76,"582,239.46",,withdrawal,ATM,True,true,pending,low,Online Purchase 970
Basic Item #96,29/07/2025,"-49,371.93",621607.10,36.25,withdrawal,POS,YES,0,pending,low,Online Purchase 978
Premium Asset #97,2026/01/11,"-10,650.70",61101.86,23.02,transfer,Web,N,YES,reversed,,
Advanced Product #98,20250215,-1.50,431904.79,26.73,fee,Branch,sim,YES,completed,medium,
Premium Item #99,20250307,44641.51,634394.18,23.15,transfer,Mobile App,F,False,failed,medium,
Enterprise Resource #100,2025/12/03,32123.64,"541,278.29",16.77,payment,Web,sim,Y,completed,high,Salary Deposit 874
Basic Service #101,22/08/2025,-4388.24,54027.76,11.18,withdrawal,Web,não,YES,reversed,,
Premium Product #102,2025/11/24,"-25,382.62",674962.46,,deposit,Mobile App,False,Y,pending,low,Bill Payment 172
Professional Entry #103,13/05/2025,"47,282.65",937439.05,,deposit,Branch,0,YES,pending,medium,
Standard Resource #104,2025/12/16,"-38,810.56",260443.40,,deposit,Web,no,não,completed,high,ATM Withdrawal 649
Standard Service #105,27/12/2025,-42573.18,626301.18,,fee,ATM,T,no,failed,medium,Bill Payment 648
Standard Product #106,20250719,7433.40,33452.09,27.56,transfer,Mobile App,0,sim,reversed,low,
Advanced Resource #107,2026/01/10,11430.40,202140.19,49.90,fee,Web,N,NO,completed,low,Bill Payment 905
Custom Resource #108,08/10/2025,38497.78,224665.07,24.20,transfer,POS,false,YES,pending,high,Bill Payment 469
Professional Asset #109,2025-10-17,22717.29,611947.68,41.31,withdrawal,Web,T,não,completed,medium,Salary Deposit 944
Advanced Product #110,26/12/2025,-46516.06,"93,171.79",23.56,fee,ATM,no,YES,failed,low,Salary Deposit 233
Standard Product #111,2026/01/01,"-37,866.38",651324.68,24.56,transfer,ATM,True,1,failed,medium,ATM Withdrawal 138
Enterprise Document #112,16/06/2025,-51.02,551794.73,25.09,transfer,POS,False,,failed,high,Bill Payment 315
Professional Service #113,03/30/2025,-20155.14,934204.81,16.03,withdrawal,ATM,NO,,completed,high,
Professional Document #114,2025-08-31,"44,302.75","752,449.78",23.34,fee,POS,true,no,completed,low,
Custom Document #115,20251018,"23,828.77","379,028.38",17.15,payment,Branch,no,False,completed,high,ATM Withdrawal 317
Professional Asset #116,20251022,47310.98,"830,434.80",29.34,payment,POS,F,0,completed,high,
Premium Asset #117,2025-01-09,31978.86,456652.69,,payment,POS,true,não,failed,high,ATM Withdrawal 864
Professional Product #118,20251025,-43771.31,"324,837.61",,transfer,POS,YES,1,reversed,low,Bill Payment 535
Professional Document #119,20251201,34249.07,216490.81,11.76,fee,ATM,N,NO,completed,low,Bill Payment 79
Premium Service #120,04/25/2025,-40719.00,"654,407.25",33.67,payment,ATM,true,false,reversed,high,
Premium Resource #121,2025-03-25,29080.02,925306.21,19.86,deposit,POS,Y,sim,reversed,low,Bill Payment 682
Professional Resource #122,06/10/2025,47353.69,846583.20,25.45,withdrawal,POS,False,0,completed,,
Standard Record #123,20250428,29027.73,950697.79,2.55,withdrawal,ATM,0,F,failed,high,Bill Payment 834
Basic Entry #124,2026/01/18,-31276.50,,49.59,transfer,Branch,1,true,pending,low,
Standard Document #125,02/23/2025,25219.98,854627.69,40.98,transfer,Web,0,T,failed,high,Salary Deposit 738
Standard Product #126,07/09/2025,-7509.27,"894,296.18",,fee,Branch,NO,não,reversed,,Salary Deposit 66
Advanced Record #127,01/03/2026,-16439.50,643263.17,46.64,payment,Branch,0,Y,completed,medium,
Advanced Service #128,2025/07/27,-31936.72,913216.57,47.82,withdrawal,ATM,N,no,reversed,high,
Professional Resource #129,20250818,-28829.94,"364,738.72",45.64,transfer,Mobile App,0,False,failed,medium,Online Purchase 418
Premium Entry #130,10/25/2025,20418.58,296118.10,47.58,deposit,ATM,yes,false,reversed,medium,Salary Deposit 33
Basic Entry #131,09/22/2025,2585.42,984491.14,4.36,deposit,POS,NO,yes,pending,medium,
Basic Resource #132,01/14/2025,-19208.65,450044.43,21.07,deposit,Branch,1,T,pending,high,
Enterprise Product #133,20250803,-33850.97,"607,933.07",,deposit,ATM,0,sim,completed,medium,Salary Deposit 401
Premium Service #134,15/01/2025,23474.37,"772,046.04",21.98,fee,POS,True,false,pending,medium,Bill Payment 996
Enterprise Product #135,02/10/2026,4980.39,386700.20,,withdrawal,POS,True,false,pending,high,ATM Withdrawal 699
Basic Resource #136,10/15/2025,21588.40,7762.79,42.72,transfer,POS,no,False,failed,low,ATM Withdrawal 283
Professional Service #137,02/27/2025,"-45,293.46",553614.09,,transfer,Branch,False,YES,completed,medium,Bill Payment 199
Enterprise Item #138,20251102,"-17,011.46",113097.56,46.92,withdrawal,ATM,false,yes,completed,medium,Online Purchase 618
Custom Asset #139,12/24/2025,-44285.57,116.96,45.04,transfer,ATM,False,sim,failed,low,ATM Withdrawal 569
Premium Record #140,2025-03-21,"32,974.24",494660.00,0.90,deposit,Branch,True,True,failed,high,Online Purchase 293
Professional Resource #141,2025/09/08,-32512.21,409425.61,4.18,payment,ATM,YES,yes,failed,high,ATM Withdrawal 239
Premium Asset #142,2025-01-19,"-12,995.01",618015.42,28.73,fee,Mobile App,Y,não,reversed,medium,
Advanced Document #143,20251028,"30,205.44","801,865.76",40.37,fee,POS,F,yes,reversed,medium,
Enterprise Service #144,25/08/2025,-19844.74,988818.90,,transfer,POS,no,NO,failed,,
Professional Product #145,21/08/2025,"33,978.54",372088.06,19.70,withdrawal,Branch,F,não,completed,high,
Premium Record #146,2025-02-10,"-11,088.49","678,483.18",17.33,withdrawal,Web,True,no,failed,low,ATM Withdrawal 539
Professional Product #147,20250817,"35,077.27",58080.95,,deposit,ATM,yes,NO,failed,high,
Advanced Entry #148,07/21/2025,-15008.07,374163.49,,withdrawal,ATM,yes,N,pending,medium,Bill Payment 225
Enterprise Document #149,26/01/2026,-7998.95,611916.22,,withdrawal,Mobile App,False,não,failed,medium,Online Purchase 472
Professional Service #150,02/18/2025,"3,724.70",942187.55,,transfer,POS,Y,1,completed,low,Online Purchase 748
Standard Document #151,13/10/2025,-2578.54,"251,568.82",,withdrawal,ATM,T,sim,reversed,,ATM Withdrawal 546
Enterprise Asset #152,03/30/2025,41047.42,"182,629.27",,transfer,Mobile App,no,T,completed,medium,Online Purchase 924
Custom Product #153,2025-08-17,"37,403.14","138,289.27",49.75,payment,POS,1,sim,completed,low,
Basic Item #154,20251008,-20316.85,363190.37,18.04,withdrawal,Web,Y,false,reversed,low,
Custom Item #155,20250920,"-30,563.83",937879.16,49.91,payment,Mobile App,True,T,failed,low,ATM Withdrawal 123
Enterprise Product #156,08/02/2025,"-31,058.38","120,873.85",39.86,payment,POS,False,,failed,low,Online Purchase 261
Basic Resource #157,20250514,21655.08,"271,812.89",7.53,withdrawal,Web,false,não,reversed,high,
Custom Service #158,05/05/2025,35919.99,576495.13,,payment,ATM,YES,Y,failed,low,Bill Payment 311
Professional Resource #159,11/19/2025,22924.12,538564.95,15.89,transfer,ATM,F,no,failed,high,Online Purchase 16
Basic Resource #160,01/07/2026,42672.30,348096.63,,deposit,ATM,YES,não,failed,medium,ATM Withdrawal 401
Enterprise Record #161,2025-02-04,-32757.82,"225,325.59",24.35,deposit,Web,true,YES,pending,high,Salary Deposit 469
Enterprise Entry #162,18/01/2026,-648.22,"363,369.69",47.85,fee,ATM,false,1,reversed,,ATM Withdrawal 779
Custom Record #163,2025/11/14,-11515.86,930435.52,47.23,transfer,Branch,yes,sim,reversed,low,
Enterprise Product #164,2025/03/10,-11806.19,902276.70,23.61,transfer,ATM,yes,Y,failed,low,
Professional Entry #165,2025-06-07,35070.12,245573.13,8.81,fee,Web,Y,N,pending,low,
Custom Document #166,2025-01-17,-8657.75,"214,918.94",24.65,payment,Branch,no,T,pending,low,Online Purchase 532
Professional Asset #167,20250129,"-17,519.67",347235.53,23.27,payment,POS,YES,true,completed,medium,
Professional Resource #168,02/26/2025,"27,851.87",647001.96,,withdrawal,Web,T,1,failed,high,ATM Withdrawal 724
Premium Entry #169,01/01/2026,-21928.61,"6,126.55",21.44,withdrawal,POS,N,N,completed,high,ATM Withdrawal 529
Professional Item #170,20251129,"1,464.00",581785.63,,fee,ATM,N,True,failed,low,Bill Payment 218
Enterprise Item #171,2025/09/29,"14,902.24","230,277.62",25.68,payment,Mobile App,N,NO,failed,medium,Salary Deposit 141
Basic Document #172,2025/12/24,-15004.79,870411.49,31.64,fee,POS,F,Y,reversed,medium,Salary Deposit 347
Basic Item #173,01/13/2025,48555.63,776103.88,,transfer,Branch,N,0,completed,low,Online Purchase 545
Basic Service #174,2025-08-10,-34680.09,661748.83,37.98,fee,Branch,false,NO,failed,medium,Bill Payment 801
Basic Resource #175,2025-10-17,-40346.02,639831.59,34.68,transfer,Web,1,False,completed,medium,
Advanced Record #176,26/09/2025,"18,623.28",594293.42,16.70,deposit,POS,no,yes,completed,medium,ATM Withdrawal 761
Premium Item #177,2025-03-25,4041.36,262672.22,0.17,fee,ATM,0,true,completed,low,Online Purchase 525
Advanced Item #178,12/21/2025,-37885.44,209155.91,36.48,withdrawal,Web,True,yes,pending,low,
Advanced Document #179,02/09/2026,"31,127.18",638461.52,34.27,payment,Mobile App,yes,false,pending,medium,Online Purchase 856
Enterprise Asset #180,07/07/2025,26494.99,675921.92,,fee,Mobile App,yes,no,failed,medium,
Professional Asset #181,01/27/2026,14114.97,366066.62,35.04,deposit,ATM,NO,no,failed,,
Advanced Service #182,20250922,24601.95,"348,522.51",,transfer,ATM,Y,sim,pending,low,
Custom Record #183,24/01/2025,"-44,684.63",576452.63,13.30,deposit,Mobile App,no,T,completed,medium,Bill Payment 859
Basic Service #184,20250803,-22141.63,474632.63,48.76,transfer,ATM,F,YES,failed,high,
Professional Product #185,08/18/2025,"-39,404.55",708975.86,17.49,transfer,Mobile App,False,true,failed,high,ATM Withdrawal 183
Basic Entry #186,01/02/2025,"-8,894.44","275,327.88",32.71,withdrawal,Mobile App,false,T,reversed,low,Online Purchase 111
Standard Document #187,2025-04-22,-5525.32,215969.05,31.16,withdrawal,Mobile App,NO,yes,reversed,low,Online Purchase 259
Basic Record #188,20250420,-28405.78,"417,346.91",10.37,deposit,Mobile App,1,0,reversed,low,
Custom Service #189,02/10/2025,"-9,923.81",466039.30,,withdrawal,ATM,YES,no,reversed,high,Bill Payment 322
Enterprise Service #190,20251031,"-41,822.17",731433.16,17.34,transfer,Branch,yes,sim,reversed,high,Online Purchase 192
Premium Record #191,12/02/2026,-22701.73,261474.90,44.33,payment,Mobile App,sim,no,failed,low,
Custom Service #192,2026/02/13,-411.26,"164,390.44",,deposit,Mobile App,NO,T,completed,high,Salary Deposit 454
Professional Service #193,20250416,"-37,405.04",136693.37,30.11,payment,Web,0,sim,pending,high,Online Purchase 251
Basic Item #194,20/01/2025,"-48,030.20",518396.23,40.32,fee,Branch,false,F,completed,low,
Basic Item #195,07/13/2025,"2,475.07","727,614.87",22.08,fee,Web,0,0,reversed,medium,Online Purchase 785
Premium Product #196,2025/07/11,14304.86,967834.40,,payment,ATM,não,não,completed,medium,
Advanced Document #197,20260102,-14532.24,788983.75,,payment,Mobile App,F,False,pending,medium,
Premium Asset #198,20250410,-34188.30,502268.10,,fee,POS,sim,no,pending,high,ATM Withdrawal 902
Premium Asset #199,20250227,9566.01,943785.92,19.06,withdrawal,ATM,NO,yes,reversed,high,
Professional Item #200,10/24/2025,42137.98,"998,378.42",48.41,payment,Mobile App,F,False,pending,medium,
Advanced Document #201,13/05/2025,"-1,902.48",142145.28,2.28,transfer,Web,T,True,reversed,,
Enterprise Item #202,2025/09/03,4007.13,386131.58,9.64,deposit,ATM,Y,N,failed,medium,
Premium Entry #203,2026/01/04,46993.06,921810.59,0.05,payment,Mobile App,yes,False,reversed,low,Bill Payment 493
Advanced Item #204,2025-09-10,"-28,645.95",216150.50,38.25,transfer,Mobile App,T,NO,completed,medium,ATM Withdrawal 386
Basic Service #205,2025-06-23,"-15,190.37","389,700.23",30.78,payment,Web,0,,failed,,Salary Deposit 777
Advanced Product #206,2025/09/30,-42194.16,"448,935.86",44.30,fee,Mobile App,NO,,completed,medium,ATM Withdrawal 323
Standard Document #207,03/08/2025,"-22,464.66","415,736.18",3.60,withdrawal,POS,T,no,reversed,medium,Online Purchase 506
Advanced Document #208,2025-08-13,-32032.70,"704,268.81",13.28,transfer,ATM,True,F,reversed,low,
Basic Item #209,2025-01-26,27036.22,270208.65,39.19,transfer,POS,não,F,reversed,,ATM Withdrawal 283
Standard Record #210,20250918,-49888.59,93519.54,2.56,payment,Web,F,1,reversed,low,Bill Payment 708
Enterprise Resource #211,2025-07-22,18506.47,404518.63,22.53,withdrawal,POS,0,T,failed,medium,ATM Withdrawal 131
Standard Record #212,2025-01-13,-26088.88,"954,822.20",16.42,fee,Mobile App,yes,N,completed,high,Online Purchase 765
Custom Document #213,18/02/2025,19318.77,"61,760.63",28.96,payment,Web,False,no,reversed,medium,Salary Deposit 62
Basic Service #214,20250502,-16970.89,"289,054.16",39.28,withdrawal,Branch,false,NO,completed,medium,Salary Deposit 238
Professional Item #215,06/11/2025,"-3,032.42","627,182.19",26.01,withdrawal,Branch,False,true,failed,,ATM Withdrawal 488
Professional Item #216,03/22/2025,36091.29,445270.87,12.87,payment,Branch,NO,Y,failed,low,
Standard Resource #217,14/11/2025,20937.28,447473.76,,deposit,Branch,sim,False,failed,high,ATM Withdrawal 49
Advanced Service #218,2025-08-18,-10178.45,"625,863.57",47.71,withdrawal,Mobile App,no,sim,reversed,high,
Custom Asset #219,2025-11-29,37820.90,542641.56,,deposit,POS,NO,,completed,low,
Advanced Entry #220,09/12/2025,47465.55,"987,171.88",9.64,payment,ATM,no,0,failed,medium,Online Purchase 640
Enterprise Resource #221,28/06/2025,-49097.90,22527.03,39.34,payment,Branch,N,sim,reversed,high,ATM Withdrawal 433
Professional Document #222,01/17/2026,7838.75,947630.29,37.59,deposit,Web,Y,não,failed,medium,
Advanced Resource #223,2025/05/01,13616.28,70536.43,20.72,transfer,Mobile App,true,sim,pending,medium,Online Purchase 625
Professional Entry #224,02/02/2026,10594.90,148617.81,28.66,payment,Branch,sim,True,completed,medium,Bill Payment 45
Premium Record #225,2025-08-31,-6680.25,611025.37,6.51,fee,ATM,T,Y,failed,low,
Advanced Product #226,20250602,-39681.52,95766.90,22.65,withdrawal,Mobile App,F,0,reversed,high,
Premium Service #227,12/06/2025,-38990.64,299305.15,41.12,fee,Web,yes,true,pending,medium,
Advanced Item #228,20251006,"42,062.54",669178.91,44.29,fee,Mobile App,F,não,reversed,medium,Online Purchase 781
Professional Asset #229,20250429,2996.41,97638.30,3.32,fee,ATM,YES,no,reversed,medium,Online Purchase 65
Enterprise Service #230,18/02/2025,"6,521.09",629227.22,16.26,withdrawal,Branch,False,,completed,high,Bill Payment 115
Enterprise Item #231,2025-01-12,-30843.93,"304,102.25",,payment,Branch,no,não,pending,,
Professional Record #232,10/27/2025,8277.10,"553,819.80",33.49,deposit,Branch,1,N,pending,high,
Standard Service #233,06/26/2025,"16,808.76",686335.66,18.25,fee,ATM,não,não,reversed,,ATM Withdrawal 45
Professional Item #234,04/13/2025,-36648.00,"123,945.22",41.97,fee,ATM,Y,true,pending,medium,
Enterprise Entry #235,05/24/2025,"-48,677.33",170424.84,39.74,payment,Mobile App,true,1,failed,low,Online Purchase 221
Standard Document #236,2025-09-20,43769.81,152008.11,,payment,Mobile App,sim,T,reversed,medium,ATM Withdrawal 261
Advanced Record #237,2026/01/27,29636.87,959500.81,46.27,withdrawal,Branch,N,F,failed,medium,
Premium Resource #238,07/23/2025,45484.27,382189.97,3.06,payment,Branch,0,yes,failed,high,ATM Withdrawal 795
Premium Asset #239,12/02/2025,"-43,145.26","606,220.57",,withdrawal,ATM,1,N,completed,medium,Salary Deposit 60
Advanced Record #240,2025-07-27,38607.12,409834.14,,transfer,Mobile App,YES,não,pending,,Bill Payment 152
Enterprise Record #241,20260103,"26,908.75",967004.35,1.79,deposit,POS,T,YES,pending,medium,ATM Withdrawal 875
Advanced Entry #242,2025-03-22,13316.34,934424.35,44.30,fee,Mobile App,1,NO,failed,low,
Custom Entry #243,2025/12/15,6021.39,366225.65,,withdrawal,Mobile App,false,N,completed,low,Bill Payment 759
Basic Service #244,01/07/2025,26219.96,853050.07,31.93,payment,Branch,sim,False,reversed,high,
Premium Record #245,20250728,"45,318.82","603,962.87",,payment,Mobile App,1,NO,failed,,Bill Payment 911
Basic Product #246,04/15/2025,"39,185.54",291790.99,34.85,withdrawal,Branch,YES,N,reversed,high,Bill Payment 156
Professional Resource #247,01/07/2025,"-43,332.17",951526.83,40.74,withdrawal,POS,YES,0,pending,medium,
Enterprise Document #248,2025/11/09,"23,785.35","940,063.09",16.95,deposit,Web,yes,no,failed,high,
Enterprise Document #249,06/10/2025,-41240.50,824854.98,2.51,payment,Branch,Y,T,failed,high,Salary Deposit 794
Advanced Asset #250,20250708,33807.27,664069.99,38.31,transfer,ATM,0,false,reversed,medium,
Professional Service #251,06/12/2025,40820.19,"611,622.56",23.67,transfer,Web,yes,N,failed,medium,
Standard Resource #252,2025/12/04,-1193.89,763933.77,46.71,fee,Web,yes,,completed,medium,ATM Withdrawal 673
Custom Record #253,2025/07/22,"41,650.10",509903.05,24.19,withdrawal,ATM,1,False,pending,high,
Enterprise Record #254,20250906,23543.29,"605,630.93",7.49,deposit,POS,no,False,reversed,low,
Premium Record #255,2025/12/11,-46792.05,"771,507.44",49.69,fee,Web,NO,Y,pending,low,Salary Deposit 482
